SALES REPORT
Transaction ID,Date,Product,Quantity,Unit Price,Subtotal
10,2026-05-27 13:53:31,"kharl",1,250.00,250.00
9,2026-05-27 11:44:53,"kharl",-1,250.00,-250.00
8,2026-05-27 11:44:45,"kharl",-13,250.00,-3250.00
6,2026-05-16 10:35:00,"",1,12.00,12.00
7,2026-05-16 10:35:00,"",4,12.00,48.00
4,2026-05-16 10:26:29,"",3,12.00,36.00
5,2026-05-16 10:26:29,"",1,12.00,12.00
3,2026-05-16 10:12:25,"",1,12.00,12.00
2,2026-05-16 10:12:12,"",1,12.00,12.00
1,2026-05-16 10:07:46,"",42,12.00,504.00

TOTAL SALES:,-2614

EXPENSES REPORT
Date,Category,Description,Amount,Reference,Payment Method

TOTAL EXPENSES:,0

NET INCOME:,-2614
